gvkey,iid,shortintadj,datadate,tic
108132,01,318200064.0000,2016-01-15,SPY
108132,01,240236960.0000,2013-05-15,SPY
108132,01,217740688.0000,2008-01-15,SPY
108132,01,149565760.0000,2018-09-14,SPY
108132,01,313206016.0000,2012-01-13,SPY
108132,01,121245840.0000,2006-05-15,SPY
108132,01,270931712.0000,2014-09-15,SPY
108132,01,22516896.0000,2001-01-12,SPY
108132,01,175515776.0000,2017-05-15,SPY
108132,01,293167616.0000,2009-05-15,SPY
108132,01,121662928.0000,2020-01-15,SPY
108132,01,180519453.0000,2022-09-15,SPY
108132,01,80027008.0000,2005-01-14,SPY
108132,01,210107152.0000,2012-09-14,SPY
108132,01,21379584.0000,1999-09-15,SPY
108132,01,215369872.0000,2014-01-15,SPY
108132,01,154759248.0000,2007-05-15,SPY
108132,01,290114816.0000,2015-05-15,SPY
108132,01,5537033.0000,1997-01-15,SPY
108132,01,268250416.0000,2016-09-15,SPY
108132,01,283256576.0000,2008-09-15,SPY
108132,01,141317520.0000,2018-01-12,SPY
108132,01,33079920.0000,2002-05-15,SPY
108132,01,157331712.0000,2019-05-15,SPY
108132,01,213970672.0000,2010-01-15,SPY
108132,01,141590242.0000,2020-09-15,SPY
108132,01,131085478.0000,2022-01-14,SPY
108132,01,317762048.0000,2011-05-13,SPY
108132,01,142738098.0000,2023-05-15,SPY
108132,01,13753677.0000,1999-01-15,SPY
108132,01,274598144.0000,2012-05-15,SPY
108132,01,140395168.0000,2005-09-15,SPY
108132,01,199117344.0000,2013-01-15,SPY
108132,01,4211855.0000,1996-05-15,SPY
108132,01,280302080.0000,2013-09-13,SPY
108132,01,114294768.0000,2007-01-12,SPY
108132,01,241888080.0000,2014-05-15,SPY
108132,01,22321104.0000,2000-05-15,SPY
108132,01,217855152.0000,2015-01-15,SPY
108132,01,190715728.0000,2007-09-14,SPY
108132,01,436745984.0000,2015-09-15,SPY
108132,01,1236050.0000,1995-01-13,SPY
108132,01,241587026.0000,2016-05-13,SPY
108132,01,321738240.0000,2008-05-15,SPY
108132,01,185267472.0000,2017-01-13,SPY
108132,01,24266288.0000,2001-09-10,SPY
108132,01,177764880.0000,2017-09-15,SPY
108132,01,306158848.0000,2009-01-15,SPY
108132,01,172376096.0000,2018-05-15,SPY
108132,01,10882448.0000,1997-09-15,SPY
108132,01,192063040.0000,2019-01-15,SPY
108132,01,284847360.0000,2009-09-15,SPY
108132,01,134378384.0000,2019-09-13,SPY
